id,num_orders
1028232,100.4
1127204,156.6
1212707,100.4
1082698,156.6
1400926,197.4
1284113,113.4
1197966,156.6
1132739,197.4
1057981,100.4
1095932,1393.2
1454421,1037.2
1149765,1037.2
1166964,1037.2
1010949,1037.2
1409575,1037.2
1181616,1037.2
1456020,1037.2
1264395,1037.2
1472931,462.2
1412015,832.0
1461229,832.0
1014564,764.2
1485914,764.2
1345389,832.0
1006833,832.0
1174921,764.2
1175393,832.0
1152412,764.2
1497398,764.2
1363486,421.8
1366766,421.8
1192413,421.8
1319547,604.6
1337684,481.4
1479766,410.8
1460444,421.8
1139730,410.8
1115056,481.4
1335827,481.4
1385333,329.4
1096323,404.6
1230693,278.0
1027016,324.8
1181520,381.0
1306234,324.8
1271440,226.4
1269834,470.0
1176823,221.6
1193098,446.0
1034878,1830.4
1010243,1725.0
1451807,1725.0
1016845,1725.0
1198021,1725.0
1413802,937.0
1231223,1114.8
1274226,1114.8
1425142,1039.8
1211593,1299.0
1419190,791.4
1180223,791.4
1194932,791.4
1323477,791.4
1371595,791.4
1171521,791.4
1052384,791.4
1060921,791.4
1261811,791.4
1246502,791.4
1497466,699.2
1232717,1080.6
1136112,1080.6
1196334,656.6
1349533,699.2
1463406,699.2
1447686,613.4
1336105,613.4
1012855,1080.6
1180646,1080.6
1062490,378.0
1098228,412.8
1101375,391.8
1400016,378.0
1439889,383.2
1408468,259.2
1044490,423.8
1290002,412.8
1190633,397.6
1040430,370.8
1049366,319.0
1224120,278.2
1293810,232.8
1197335,237.6
1323989,281.4
1129467,235.0
1229328,281.4
1164395,367.2
1217722,319.0
1171266,221.4
1024905,397.6
1343027,332.4
1141892,332.0
1302404,319.2
1170447,413.0
1140772,297.6
1103484,270.2
1387134,408.4
1117711,444.0
1472121,345.6
1289523,308.2
1091114,415.8
1043572,432.2
1103283,351.6
1265051,475.0
1168741,351.6
1052776,389.2
1206564,351.6
1302153,416.4
1083754,384.0
1097952,172.8
1251605,172.8
1333032,49.4
1086936,49.4
1088412,172.8
1236400,172.8
1244516,172.8
1380381,172.8
1495062,172.8
1439647,172.8
1019214,855.8
1316160,855.8
1022008,421.6
1138248,421.6
1052922,855.8
1181474,421.6
1046475,855.8
1216688,855.8
1067565,855.8
1008328,421.6
1430287,435.0
1406716,572.8
1105380,435.0
1248694,435.0
1252163,435.0
1443474,435.0
1033716,435.0
1300295,435.0
1311882,435.0
1257968,435.0
1226362,195.2
1030655,289.2
1210527,326.6
1278927,345.6
1232239,262.4
1133067,326.6
1382522,340.6
1219136,318.8
1498130,186.2
1251629,121.4
1032092,510.4
1249865,510.4
1207630,365.0
1144733,713.2
1436768,713.2
1148964,365.0
1237346,365.0
1206015,365.0
1105113,510.4
1430481,510.4
1001589,219.2
1224132,183.8
1074380,224.6
1097109,76.0
1211246,181.8
1390579,175.8
1473058,143.4
1186964,168.0
1222837,283.2
1342393,143.4
1170472,929.0
1170791,929.0
1046653,891.2
1195179,929.0
1332509,810.4
1438300,929.0
1435748,810.4
1052668,929.0
1227060,891.2
1342252,1217.8
1143109,594.0
1394807,462.4
1448374,594.0
1028680,662.0
1079691,462.4
1402079,462.4
1424446,462.4
1133297,462.4
1076214,1045.4
1173823,1045.4
1488584,243.0
1072892,199.8
1277491,199.8
1290868,256.4
1048888,351.2
1138141,256.4
1473125,256.4
1196726,391.8
1179278,340.2
1282305,300.0
1359903,199.8
1355143,198.0
1095889,191.6
1250665,167.2
1426610,221.8
1390104,191.6
1051519,198.0
1337584,518.4
1332667,167.2
1075942,167.2
1109804,44.2
1316684,35.8
1248315,35.8
1113611,46.0
1110867,35.8
1247289,30.2
1022953,70.4
1160081,70.4
1120430,70.0
