id,num_orders
1028232,121.83333333333334
1127204,129.6
1212707,121.83333333333334
1082698,67.4
1400926,67.4
1284113,169.0
1197966,129.6
1132739,67.4
1057981,121.83333333333334
1095932,761.85
1454421,845.6833333333332
1149765,421.0
1166964,1419.1
1010949,1320.4
1409575,1419.1
1181616,1320.4
1456020,845.6833333333332
1264395,421.0
1472931,1013.9
1412015,574.05
1461229,558.65
1014564,1318.5
1485914,1318.5
1345389,605.55
1006833,605.55
1174921,1484.3
1175393,601.3
1152412,1452.1
1497398,1452.1
1363486,428.15
1366766,632.8444444444444
1192413,632.8444444444444
1319547,935.7440476190477
1337684,373.71388888888885
1479766,632.3
1460444,428.15
1139730,632.3
1115056,1030.0666666666668
1335827,768.0879761904763
1385333,295.8995102343104
1096323,309.8334069658673
1230693,250.72545001491926
1027016,288.9824945887446
1181520,362.8691420602452
1306234,288.9824945887446
1271440,311.5207163467393
1269834,330.0634914343524
1176823,280.1115357355063
1193098,351.62766017608124
1034878,2224.0
1010243,631.85
1451807,815.25
1016845,815.25
1198021,631.85
1413802,1655.2
1231223,1145.3183333333334
1274226,1145.3183333333334
1425142,1525.3
1211593,872.15
1419190,713.4399999999999
1180223,713.4399999999999
1194932,842.9399999999999
1323477,987.6899999999999
1371595,859.35
1171521,859.35
1052384,713.4399999999999
1060921,713.4399999999999
1261811,713.4399999999999
1246502,713.4399999999999
1497466,772.1
1232717,1132.8
1136112,1311.0
1196334,545.4
1349533,772.1
1463406,772.1
1447686,708.7
1336105,708.7
1012855,1311.0
1180646,1132.8
1062490,394.34022591842484
1098228,381.1317442796076
1101375,359.5451091116479
1400016,394.34022591842484
1439889,334.2639165890823
1408468,265.79305555555555
1044490,421.5359063487802
1290002,381.1317442796076
1190633,407.0410252094488
1040430,449.5806684130722
1049366,247.23383388607334
1224120,215.11714066044993
1293810,210.1807142857143
1197335,217.5804761904762
1323989,272.53933513854565
1129467,212.00357142857146
1229328,272.53933513854565
1164395,320.1929761904762
